OBJECTID,LANDMARKID,LANDMARK,CIVIC_NO,STREET,OWNERSHIP,X_COORD,Y_COORD,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE
1,206,LIONS ARENA,20,RITTENHOUSE RD,KITCHENER,541801.4172,4806820.7325,2000-03-20,2013-06-07,GIS STAFF,2016-04-19
2,208,DON MC LAREN ARENA,61,GREEN ST,KITCHENER,539624.9991,4811469.7443,2016-04-19,2013-06-07,,2016-04-19
3,203,GRAND RIVER ARENA,555,HERITAGE DR,KITCHENER,545705.6812,4811661.044,2016-04-19,2013-06-07,,2016-04-19
4,5317,SPORTSWORLD ARENA,35,SPORTSWORLD CROSSING RD,KITCHENER,548869.2074,4806671.0861,2009-08-14,2013-06-07,PAULINE HOUSTON,2009-08-14
5,5223,ACTIVA SPORTSPLEX,135,LENNOX LEWIS WAY,KITCHENER,542800.5592,4807837.5383,2008-06-18,2013-05-17,MARIO PETRICEVIC,2008-06-23
6,2850,KINSMEN/ KIWANIS TWIN PAD ICE RINK,400,EAST AVE,KITCHENER,543191.4301,4810646.8987,2004-04-28,2015-02-09,,2016-04-19
7,5807,DOM CARDILLO ARENA,400,EAST AVE,KITCHENER,543083.0566,4810592.712,2011-08-11,2014-05-07,THEAUD.CA,2011-08-11
8,2185,CONESTOGA COLLEGE ARENA,299,DOON VALLEY DR,PRIVATE,547976.2418,4804194.568,2003-07-16,2014-05-07,THEAUD.CA,2011-08-11
