OBJECTID,LANDMARKID,LANDMARK,CIVIC_NO,STREET,OWNERSHIP,X_COORD,Y_COORD,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,SHAPE.AREA,SHAPE.LEN
79,796,SOUTHWEST OPTIMIST SPORTSFIELD BALL DIAMOND-3,120,PIONEER DR,KITCHENER,545788.66,4804905.871,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,7102.70499084,326.871407106306
80,390,OUR LADY OF GRACE SOCCER FIELD,70,GRACEFIELD CRES,PRIVATE,542074.2602,4807585.0026,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1316.176733905,134.976707505046
81,298,J.F. CARMICHAEL SCHOOL BALL DIAMOND,80,PATRICIA AVE,PRIVATE,540124.163,4809675.682,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1507.81982453,149.17801383318
82,755,ELMSDALE PARK - SCRUB DIAMOND,83,ELMSDALE DR,KITCHENER,540925.292,4807900.786,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2735.711398625,216.354118269254
83,806,TRILLIUM PUBLIC SCHOOL BALL DIAMOND-2,79,LAURENTIAN DR,PRIVATE,540840.973,4807258.784,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,678.36882674,95.9997125258403
84,325,BRIGADOON PUBLIC SCHOOL BALL DIAMOND,415,CARYNDALE DR,PRIVATE,544041.3435,4803717.3506,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,774.69123505,105.645212581775
85,734,BRIDGEPORT SPORTSFIELDS JOE THOMPSON BALL DIAMOND,3,TYSON DR,KITCHENER,541965.789,4814328.254,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,5272.90963572,278.387146989069
86,349,FRANKLIN PARK BALL DIAMOND,335,FRANKLIN ST N,KITCHENER,544949.478,4810272.999,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,4913.079096475,264.302642311267
87,364,CONESTOGA COLLEGE SPORTSFIELD BALL DIAMOND,299,DOON VALLEY DR,PRIVATE,547781.054,4804058.07,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,9588.11621414,549.689419327021
88,369,PRUETER SCHOOL BALL DIAMOND,40,PRUETER AVE,PRIVATE,541193.688,4813028.657,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3112.638733795,217.789532094946
89,731,BREITHAUPT PARK BALL DIAMOND-3,350,UNION ST,KITCHENER,540792.472,4812875.756,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,5824.98187567,286.393622908717
90,736,BRIDGEPORT SPORTSFIELDS BALL DIAMOND-2,70,BRIDGE ST E,KITCHENER,542380.39,4814165.346,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3804.024749365,235.959866322061
91,317,FOREST WEST PARK BALL DIAMOND,155,HIGHVIEW DR,KITCHENER,536654.816,4806906.152,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2708.504183585,203.396515322063
92,805,ST MARK SEPARATE SCHOOL BALL DIAMOND,240,AUTUMN HILL CRES,PRIVATE,537927.015,4807547.323,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2168.561560095,182.08408344113
93,368,BREITHAUPT PARK BALL DIAMOND-2,350,UNION ST,KITCHENER,540862.941,4812780.283,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,9581.16548706,380.49492687989
94,374,CHERRY PARK BALL DIAMOND-2,84,STRANGE ST,KITCHENER,539849.883,4810989.751,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3244.314092015,234.912888569987
95,761,FRANKLIN SCHOOL BALL DIAMOND-2,371,FRANKLIN ST N,PRIVATE,544750.1425,4810168.9043,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2788.48011745,209.253243348159
96,6286,ZELLER PARK BALL DIAMOND,245,ZELLER DR,OPERATIONS,547125.6476,4811133.1195,2013-04-12,2015-09-09,2012 ORTHO,2006-03-31,1728.043611145,158.303174502538
97,760,FRANKLIN SCHOOL BALL DIAMOND-1,335,FRANKLIN ST N,PRIVATE,544832.6799,4810268.6024,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3003.515717105,213.251188493872
98,6353,MONSIGNOR GLEASON SCHOOL BALL DIAMOND,,WESTWOOD DR,KITCHENER,537941.7162,4810228.5454,2013-04-23,2015-09-09,2006 ORTHO,2006-03-31,2801.19650781,208.601782203405
99,301,GZOWSKI PARK BALL DIAMOND,10,CHOPIN DR,OPERATIONS,538494.4364,4810160.3064,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2899.819065095,211.191265176384
100,344,KINGSDALE PARK BALL DIAMOND,124,CEDARWOODS CRES,KITCHENER,545017.217,4808569.176,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2062.230615195,170.465090301857
101,800,SHEPPARD PUBLIC SCHOOL DIAMOND-2,270,WEBER ST E,PRIVATE,542807.005,4810525.407,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1537.05370571,161.00991954408
102,768,K.C.I. SPORTSFIELDS - SCRUB DIAMOND (REMOVED),21,PINE ST,PRIVATE,539763.559,4811810.706,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1792.25205221,170.744083340479
103,799,SHEPPARD PUBLIC SCHOOL BALL DIAMOND-1,270,WEBER ST E,PRIVATE,542729.025,4810645.298,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1483.632009955,158.139159647244
104,798,SOUTHWEST OPTIMIST SPORTSFIELD BALL DIAMOND-2,120,PIONEER DR,KITCHENER,545726.276,4805100.146,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,7456.702866705,347.915153939904
105,352,ROSENBERG PARK BALL DIAMOND-1,600,HERITAGE DR,KITCHENER,545748.729,4811747.275,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,5563.58822322,298.007588001184
106,792,ROCKWAY PUBLIC SCHOOL BALL DIAMOND-2,70,VANIER DR,PRIVATE,543475.622,4808592.294,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1908.050587155,182.098707396062
107,809,WILSON AVENUE SCHOOL BALL DIAMOND-2,221,WILSON AVE,PRIVATE,544136.882,4808228.847,2007-11-21,2015-09-09,2012RTHO,2012-04-01,629.46132388,93.6097717488632
108,313,WESTHEIGHTS PARK BALL DIAMOND,401,WESTHEIGHTS DR,KITCHENER,537718.36,4807557.191,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3007.96613038,228.650694471701
109,738,BUDD PARK BALL DIAMOND-2,1111,HOMER WATSON BLVD,KITCHENER,544335.397,4805607.985,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,5427.383054105,284.628444942833
110,797,SOUTHWEST OPTIMIST SPORTSFIELD BALL DIAMOND-1,120,PIONEER DR,KITCHENER,545729.182,4804942.623,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,6686.225069255,311.375061262651
111,315,ROLLING MEADOWS PARK BALL DIAMOND,,ROLLING MEADOWS DR,KITCHENER,536878.389,4807634.669,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1880.453199645,185.073008593551
112,770,LIONS PARK BALL DIAMOND-2,,BLOCK LINE RD,KITCHENER,541757.479,4806747.354,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,12074.40350148,422.377244585466
113,803,SOUTHRIDGE PARK BALL DIAMOND,1425,QUEENS BLVD,KITCHENER,538848.446,4808542.094,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1572.51014203,161.796978958209
114,297,QUEEN ELIZABETH SCHOOL BALL DIAMOND,191,HOFFMAN ST,PRIVATE,541683.815,4808749.562,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2980.327397065,223.210948224395
115,359,WEBER PARK BALL DIAMOND,380,FREDERICK ST,KITCHENER,542580.513,4811858.429,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,4617.384573325,266.638145956394
116,347,IDLEWOOD PARK BALL DIAMOND,119,ARLINGTON BLVD,KITCHENER,545539.578,4809710.394,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3985.53551881,253.986155499349
