OBJECTID,LANDMARKID,LANDMARK,CIVIC_NO,STREET,OWNERSHIP,X_COORD,Y_COORD,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,SHAPE.AREA,SHAPE.LEN
48,389,ERINBROOK PARK SOCCER FIELD,664,ERINBROOK DR,KITCHENER,541082.338,4806431.741,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2809.817882,216.837513363577
49,322,DRIFTWOOD PARK PUBLIC SCHOOL SOCCER FIELD-1,50,PARKLAND CRES,SCHOOL BOARD,537410.817,4806915.425,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,5418.729583,305.40722586731
50,739,BUDD PARK SOCCER FIELD-1,1111,HOMER WATSON BLVD,KITCHENER,544208.537,4805437.212,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,8658.838617,385.248038095926
51,410,KAUFMAN PARK SOCCER FIELD-2,104,STIRLING AVE S,KITCHENER,541918.4807,4810162.7493,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2687.7473765,216.033207817752
52,741,KAUFMAN PARK SOCCER FIELD-1,104,STIRLING AVE S,KITCHENER,541786.531,4810200.312,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,4555.08067,293.325264780715
53,743,ECOLE CARDINAL LEGER SOCCER FIELD,345,THE COUNTRY WAY,SCHOOL BOARD,541931.1,4806331.8,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2887.46758,218.542337536036
54,745,CHERRY PARK SOCCER FIELD,84,STRANGE ST,KITCHENER,539838.953,4810857.12,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3614.7589805,271.03894447103
55,377,CLOVERDALE PARK SOCCER FIELD,45,BIRCHCLIFF AVE,KITCHENER,539137.633,4808091.566,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3761.142462,252.884700382237
56,747,COUNTRY HILLS PARK SOCCER FIELD,365,COUNTRY HILL DR,KITCHENER,543006.486,4806751.156,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3533.205757,263.634593272643
57,3114,WESTWOOD PARK SOCCER FIELD,155,WESTWOOD DR,KITCHENER,538091.942,4810234.757,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2376.623445,201.423759342294
58,3115,BLESSED KATERI SEPARATE SCHOOL SOCCER FIELD,560,PIONEER DR,SCHOOL BOARD,544496.11,4804737.561,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3646.685046,248.872130339403
59,6573,HURON HEIGHTS SECONDARY SCHOOL SOCCER FIELD 1,1825,STRASBURG RD,SCHOOL BOARD,543346.899,4804873.8774,2013-10-22,2015-09-09,ORTHO 2012,2016-05-10,5313.09930454,298.136370204019
60,6574,HURON HEIGHTS SECONDARY SCHOOL SOCCER FIELD 2,1825,STRASBURG RD,SCHOOL BOARD,543203.408,4804637.1173,2013-10-22,2015-09-09,ORTHO 2012,2016-05-10,6753.565301465,339.335089704735
61,6352,WOODSIDE PARK SOCCER FIELD,49,WOODSIDE AVE,KITCHENER,540842.293,4809958.7455,2013-04-23,2015-09-09,2006 ORTHO,2006-03-31,7034.901338025,344.645040075618
62,382,FOREST HILL SCHOOL SOCCER FIELD,255,WESTMOUNT RD E,SCHOOL BOARD,539818.283,4808229.946,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,5715.0045405,341.723130774987
63,378,A.R. KAUFMAN PUBLIC SCHOOL SOCCER FIELD,11,CHOPIN DR,SCHOOL BOARD,538546.993,4809980.303,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,4856.8912295,294.818492230258
64,393,ROCKWAY PUBLIC SCHOOL SOCCER FIELD,70,VANIER DR,SCHOOL BOARD,543402.624,4808542.468,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3949.841964,261.699128888956
65,416,GRAND RIVER C.I. SOCCER FIELD 1,175,INDIAN RD,SCHOOL BOARD,545651.597,4811683.171,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,6359.757711,329.114650588234
66,794,GRAND RIVER C.I. SOCCER FIELD 2,175,INDIAN RD,SCHOOL BOARD,545637.876,4811562.761,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,6941.2900885,339.714491020016
