X,Y,OBJECTID,NAME,ADDRESS,LONGITUDE,LATITUDE,CreationDate,Creator,EditDate,Editor
-80.521781098999952,43.455955823000011,24,Redeemer Lutheran Church,78 JOHN ST W,-80.5217810990405,43.4559558232306,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.518733216999976,43.466133867000025,25,Bethel Chapel,16 LAUREL ST,-80.5187332169012,43.4661338669048,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.524560002999976,43.467698827000021,26,Emmanuel United Church of Canada,22 BRIDGEPORT RD W,-80.5245600032031,43.4676988274143,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.525088939999989,43.464767572000028,27,Knox Presbyterian Church,50 ERB ST W,-80.5250889396471,43.464767571876,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.527206633999981,43.483716208,28,Waterloo Pentecostal Assembly,395 KING ST N,-80.5272066336698,43.483716208238,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.526919423999971,43.458160755000023,29,Christ The Saviour Antiochian Orthodox Church (English),96 DUNBAR RD S,-80.5269194244505,43.4581607545904,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.530316581999955,43.461892510000013,30,Erb Street Mennonite Church,131 ERB ST W,-80.5303165815291,43.4618925103988,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.531098478999979,43.458864310000024,31,Our Lady Of Lourdes Roman Catholic Church,173 LOURDES ST,-80.5310984785813,43.4588643097719,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.53046604299999,43.474568071000022,32,St. Michaels Roman Catholic Church,64 UNIVERSITY AVE W,-80.5304660428327,43.4745680714756,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
-80.543801479999956,43.489723795,33,Church of Christ,470 GLENELM CR,-80.5438014796894,43.4897237948611,2015-09-23T13:56:11.513Z,OpenData_Waterloo,2015-09-23T13:56:11.513Z,OpenData_Waterloo
