X,Y,OBJECTID,NAME,TYPE,ADDRESS,URL,ARENA,BALL_DIAMOND,BASKETBALL_COURT,CRICKET_PITCH,GYMNASIUM,SPORT_FIELD_INDOOR,SPORT_FIELD_OUTDOOR,PARK_SPACE,PICNIC_AREA,PLAYGROUND,SPLASH_PAD,SWIMMING_POOL_INDOOR,SWIMMING_POOL_OUTDOOR,TENNIS_COURT,TRACK_INDOOR,TRACK_OUTDOOR
-80.544944723006495,43.486028558766982,107,CN Green,Park,200 Bearinger Road,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.589117837935135,43.463416345470023,108,Columbia Forest Green,Park,720 Columbia Forest Blvd,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.584848117443357,43.454639678437147,109,Columbia st Buffer,Park,,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.528033461363222,43.489236972865065,110,Conestoga Green,Park,465 King St N,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.559225140296405,43.464250502012433,111,Craigleith Park,Park,384 Craigleith Dr,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.492544319309033,43.521549446755174,112,Deerfoot Park,Park,330 Deerfoot Trail,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.588397402475238,43.462730954831549,113,Forest Hill Park,Park,739 Columbia Forest Blvd,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.520865373802494,43.461592731609187,114,Heritage Green,Park,148 King St S,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.518553115551356,43.488953328362143,115,Holbeach Green,Park,120 Lexington Rd,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.586055490196017,43.472937143261291,116,Hollyview Park,Park,530 Laurelwood Dr,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.545223006306117,43.458720836277379,117,Karen Walk Parkette,Park,316 Karen Pl,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.493356918209727,43.502999819703192,118,Kaufman Flats,Park,755 University Ave E,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.552431274785164,43.456848448858842,119,Keats Way Woods,Park,353 Keats Way,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.545990903396572,43.461790407973929,120,Keatsway Green,Park,89 McDougall Road,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.521549459390712,43.459636255462044,121,Labatts Parkette,Park,120 Park St,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.594984922158673,43.476670440356862,122,Laurel Creek Forest,Park,658 Erbsville Rd,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.572515062111336,43.460466679619408,123,Leighland Park,Park,566 Leighland Dr,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.588057188808321,43.460408877418104,124,Lookout Park,Park,872 Munich Circle,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.581331985449879,43.454469494317642,125,Lucerne Park,Park,771 Lucerne Ave,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.487770835983071,43.492861480248663,126,Melitzer Woodlot,Park,256 Pastern Trail,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.524319241858962,43.465017090831154,127,Memorial Park,Park,30 Erb St West,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.509340191064069,43.512877533009068,128,Millen Woodlot,Park,,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.50442641989136,43.514192174678904,129,New Hampshire Park,Park,650 New Hampshire St.,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.542346452681215,43.489292403086033,130,Old Albert Park,Park,605 Albert Street,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.583337723835939,43.457828727714002,131,Orchard Park,Park,538 Winterburg Walk,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.545466228965012,43.460473589775575,132,Poets' Green,Park,321 Keats Way,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.522381766737524,43.463930273881978,133,Public Square,Park,55 King St S,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.542471752715045,43.485727280298121,134,Quiet Place Park,Park,520 Quiet Place,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.596881119692341,43.466954653242006,135,Red Osier Park,Park,313 Red Osier Road,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.586047539676088,43.456082103931863,136,Rhinefall Green,Park,683 Rhinefall Dr,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.590030590769445,43.490657294651868,137,Rideau River Park,Park,439 Rideau River st,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.50357416851152,43.47715864391531,138,Roselea Park,Park,99 Rose Lea Cres,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.590202071581572,43.461429611524316,139,Rosewood Green,Park,730 Salzburg Dr,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.567375988000464,43.464603434685252,140,Roxton Park,Park,285 Roxton Drive,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.485578539701706,43.486402599141655,141,Shadowood Parkette,Park,110 BridleTrail,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.579382983717906,43.451559347916366,142,St. Moritz Park,Park,506 St. Moritz Ave,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.536205513955764,43.488587992054704,143,Sugarbush Park,Park,473 Weber St N,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.579447610673213,43.466338571588729,144,Trillium Valley Park,Park,522 Chancery Lane,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.554660384677348,43.489264842233162,145,Twin Oaks Park,Park,578 Glen Forest Blvd,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.506242917540547,43.474403604879917,146,Vermont Park,Park,183 Vermont St,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.528103057128604,43.475777823619573,147,Veterans' Green,Park,50 University Ave W,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.597327548439679,43.460858625646331,148,Vista Hills Park,Park,612 Sundew Dr,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.603034914516982,43.470533677672549,149,White Cedar Forest,Park,642 White Cedar Ave,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.514716284673,43.479637990339448,150,Willowdale Park,Park,135 University Ave E,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.512364507887142,43.514126861038484,151,Windward Park,Park,671 Breakwater Cres,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.584295895626241,43.458138621535767,152,Winterburg Park,Park,531 Winterburg Walk,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
-80.554584594039923,43.491396333674309,153,Sir Edgar Bauer Catholic School,School,660 Glen Forest Blvd,http://siredgarbauer.wcdsb.ca,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
-80.561803417109516,43.489833654843956,154,N.A. MacEachern Public School,School,580 Rolling Hills Dr,http://nam.wrdsb.ca/,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
-80.565010899849156,43.496453321165681,155,Northlake Woods Public School,School,500 Northlake Dr,http://nlw.wrdsb.ca,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
-80.534177009009625,43.485979931064627,156,Winston Churchill Public School,School,100 Milford Ave,http://wcp.wrdsb.ca,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.530207353277802,43.484182196710954,157,St. David Catholic Secondary School,School,4 High St,http://stdavid.wcdsb.ca,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes
-80.502226208922139,43.473910978468858,158,St. Agnes Catholic School,School,254 Neilson Ave,http://stagnes.wcdsb.ca,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.512024601805933,43.464669088965785,159,Elizabeth Ziegler Public School,School,90 Moore Ave S,http://elz.wrdsb.ca,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.530280353519956,43.458953449623976,160,Our Lady of Lourdes Catholic School,School,55 Roslin Ave S,http://lourdes.wcdsb.ca,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
-80.533512953919399,43.455061982598217,161,Empire Public School,School,83 Empire St,http://emp.wrdsb.ca,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.545965569049812,43.45984520245046,162,Keatsway Public School,School,323 Keats Way,http://kea.wrdsb.ca,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
-80.552462682979041,43.460790425863337,163,Centennial Public School,School,141 Amos Ave,http://cnw.wrdsb.ca,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
-80.564390852462779,43.458334850302229,164,Mary Johnston Public School,School,475 Brynhurst Blvd,http://mjp.wrdsb.ca,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
-80.56040052303365,43.44477511825373,165,Westvale Public School,School,265 Westvale Dr,http://wsv.wrdsb.ca,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
-80.553737488024012,43.445203649773447,166,Holy Rosary Catholic School,School,485 Thorndale Dr,http://holyrosary.wcdsb.ca,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
-80.577286474509776,43.450555177808546,167,Edna Staebler Public School,School,450 Bernay Dr,http://est.wrdsb.ca,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
-80.575534296546834,43.469250632342892,168,Laurelwood Public School,School,460 Brentcliffe Dr,http://lrw.wrdsb.ca,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
-80.5060996100121,43.491697245750629,169,Sandowne Public School,School,265 Sandowne Dr,http://snd.wrdsb.ca,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
-80.49419173113138,43.495297048479451,170,St. Matthew Catholic School,School,405 Pastern Trail,http://stmatthew.wcdsb.ca,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
-80.506575863004173,43.507118230546112,171,Lester B. Pearson Public School,School,520 Chesapeake Dr,http://lbp.wrdsb.ca,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
-80.504410110364717,43.513400746390502,172,Millen Woods Public School,School,640 New Hampshire St,http://mil.wrdsb.ca,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
-80.590791518480671,43.452118382888223,173,Vista Hills Public School,School,314 Sweet Gale St,http://vis.wrdsb.ca,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
