OBJECTID,PARKID,PARK,CATEGORY,SUBCATEGORY,MAP_CLASS,CIVIC_NO,STREET,OWNERSHIP,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,SHAPE.AREA,SHAPE.LEN
95,2531,WHEATFIELD PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,103,WHEATFIELD CRES,KITCHENER,2003-09-24,2015-08-21,OPERATIONS,2016-04-21,13273.12333945,616.821090370841
96,2280,SPRINGWOOD PARK,NATURAL AREA,OPEN SPACE,MINOR,,WELLINGTON ST N,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,79498.52417089,1565.85389267482
97,5516,PIONEER PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,GREEN VALLEY DR,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,4037.3528797,379.835281957253
98,2433,CHICOPEE PARK (GRCA),OTHER,MAJOR SPORTSFIELD,MAJOR,395,MORRISON RD,GRCA,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,665048.51326898,6490.64890490859
99,5502,RADDATZ PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,GAGE AVE,KITCHENER,2010-09-19,2015-07-31,OPERATIONS,2016-04-21,17212.60997957,870.512214930662
100,5522,MEINZINGER PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,HOMER WATSON BLVD,KITCHENER,2010-09-19,2015-07-31,OPERATIONS,2016-04-21,61813.745304385,1895.36986196333
101,2305,WINDALE PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,76,WINDALE CRES,KITCHENER,2003-09-24,2015-07-31,OPERATIONS AND BLOCK 44 58M-442 WR327110,2016-04-21,7145.21222896,649.018971644313
102,2440,VANIER PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,329,VANIER DR,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,14225.792679885,773.605751051812
103,6674,UNNAMED 79,OPEN SPACE,OPEN SPACE/SWM,LOCAL,,SEABROOK DR,KITCHENER,2013-12-09,2016-03-14,58M-562,2013-10-29,16032.43910355,563.498131206426
104,2572,UPPER CANADA PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,,PIONEER DR,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,24820.543646585,1093.29581529813
105,5562,DOON SOUTH CREEK NATURAL AREA,NATURAL AREA,OPEN SPACE,LOCAL,,GROH DR,KITCHENER,2010-11-24,2016-03-14,58M-487,2009-11-02,21280.51569316,964.298116231611
106,2457,WESTMOUNT DRAIN,GREENWAY,OPEN SPACE,LOCAL,,VICTORIA ST S,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,6532.965906685,755.903645962145
107,5496,DRYDEN NATURAL AREA,NATURAL AREA,OPEN SPACE,LOCAL,,COURTLAND AVE E,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,3692.78237329,315.407228917179
108,4798,HOWE DR - SWP,NATURAL AREA,OPEN SPACE/SWM,MINOR,,HOWE DR,KITCHENER,2007-10-30,2014-02-12,BLOCK 45 58M-442 INSTRUMENT NO WR327110,2007-09-12,507.326253355,90.3115030398378
109,2300,ROSENBERG PARK,DISTRICT PARK,MAJOR SPORTSFIELD,MINOR,301,HERITAGE DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,48896.680872825,957.805843419699
110,2382,SHANTZ PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,451,MANCHESTER RD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,9978.835412795,563.192380480608
111,5459,UNNAMED 45,NEIGHBOURHOOD PARK,UNKNOWN,LOCAL,,THOMAS SLEE DR,KITCHENER,2010-08-22,2015-08-25,58M-584,2015-06-26,4360.211644675,270.506133362496
