OBJECTID,PARKID,PARK,CATEGORY,SUBCATEGORY,MAP_CLASS,CIVIC_NO,STREET,OWNERSHIP,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,SHAPE.AREA,SHAPE.LEN
191,5488,BRIDGEPORT TRAIL NATURAL AREA,NATURAL AREA,OPEN SPACE/TRAIL,LOCAL,,TYSON DR,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,13254.203249045,1018.21856590639
192,5533,MAX BECKER COMMON,GREEN (COMMONS),PLAY AREA,LOCAL,300,MAX BECKER DR,KITCHENER,2010-09-19,2015-08-23,KPMP,2010-06-01,16590.742505415,659.102051818929
193,3648,RIVER BIRCH PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,900,RIVER BIRCH CRT,KITCHENER,2010-09-19,2015-08-23,PLANNING,2016-04-21,72703.796147095,1697.33627089433
194,5234,BEAUMONT PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,345,BEAUMONT CRES,KITCHENER,2008-07-07,2015-08-23,58M-454,2008-04-18,3007.049498265,216.755370493952
195,5528,HENRY STURM GREENWAY - RESURRECTION NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,WEST AVE,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,24818.77549072,1008.81140228046
196,2548,LACKNER WOODS SWP,NATURAL AREA,OPEN SPACE/SWM,MINOR,621,LACKNER BLVD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2005-02-18,15886.64321912,511.784660099537
197,2411,MADISON GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,65,MADISON AVE N,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,159.9633349,62.6320923589823
198,2375,WOODSIDE PARK,DISTRICT PARK,MAJOR SPORTSFIELD,MINOR,115,WOODSIDE AVE,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,30121.4877794,745.478790760135
199,2306,DURHAM GREEN,GREEN,PASSIVE AREA,LOCAL,,DURHAM ST,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,612.61624913,101.149623114149
200,5482,CEDAR CREST PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,CEDAR CREST ST,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,4548.86762482,425.099798562632
201,2279,MAPLE LANE GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,,BREITHAUPT ST,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,145.54172035,48.7471192651003
202,2417,STABLER GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,115,WEBER ST E,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,416.035367895,95.7290685972734
203,2465,EVERGLADE SWM,NATURAL AREA,OPEN SPACE/HAZARD LAND,MINOR,,EVERGLADE CRES,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,11173.210204005,624.761660189971
204,2560,SCHNEIDER CREEK PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,40,GREEN VALLEY DR,REGION,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,7105.295571035,386.223819858815
205,2402,HERITAGE PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,30,HALIFAX DR,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,27435.59507819,935.601379825502
206,2495,TRAYNOR PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,345,TRAYNOR AVE,KITCHENER/HYDRO,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,11765.63912535,556.888926520978
207,2543,FILSINGER PARK WEST,NATURAL AREA,OPEN SPACE,MINOR,,WESTMOUNT RD W,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,75300.83198212,1481.23600843622
208,2413,MARKET GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,31,SCOTT ST,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,1071.302040655,135.717392421634
209,2421,STRASBURG SWP,NATURAL AREA,OPEN SPACE,MAJOR,,STRASBURG RD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,10324.082172895,966.402721295624
210,5495,BATTLER ROAD - GREENWAY,GREENWAY,OPEN SPACE,MINOR,,BATTLER RD,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,851.86673651,173.058382537559
211,2369,VOGELSANG GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,15,DUKE ST E,FEDERAL GOVERNMENT,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,822.02674381,117.292499881364
212,5519,WILSON PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLOT,MINOR,,WILSON AVE,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,57418.54832053,1336.84566233116
213,2554,BECHTEL PARK (MTO),NATURAL AREA,OPEN SPACE,MINOR,,SPRINGDALE DR,PROVINCE OF ONTARIO,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,147536.50651402,1927.41781180909
214,2518,DAIMLER DR WALKWAY,GREENWAY,OPEN SPACE,LOCAL,,DAIMLER DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,5364.65580753,872.874834373475
215,2589,HOMER WATSON PARK (GRCA),NATURAL AREA,OPEN SPACE,MAJOR,14,MILL PARK DR,GRCA,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,61779.659394195,1571.19668328386
216,2376,PETER HALLMAN BALLYARD HALLMAN BALLYARD,GREENWAY,OPEN SPACE,MINOR,54,MILL ST,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,39066.19950988,2378.20169584847
217,6673,SEABROOK PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,190,SEABROOK DR,KITCHENER,2013-12-09,2016-03-14,58M-562,2013-10-29,2789.878973005,207.779872846342
218,5565,TILT TRAIL,GREENWAY,OPEN SPACE/TRAIL,MINOR,,GROH DR,KITCHENER,2010-11-24,2016-03-14,58M-488,2005-10-18,369.80768933,157.978960707527
219,6672,UNNAMED 78,NEIGHBOURHOOD PARK,PARK,LOCAL,,SEABROOK DR,KITCHENER,2013-12-09,2016-03-14,58M-563,2013-10-29,1995.85877718,212.188074936259
220,2373,ADMIRAL PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,93,ROXBOROUGH AVE,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,6552.20481054,534.81362327054
221,2561,PIONEER PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,40,GREEN VALLEY DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,14392.738620925,959.218037359408
222,2571,SANDROCK GREENWAY,GREENWAY,OPEN SPACE,MINOR,,FISCHER HALLMAN RD TO ROYAL ORCHARD DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,61847.86589308,4296.91417155978
223,5512,HIDDEN VALLEY PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,HIDDEN VALLEY CRES,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,45320.98749845,2011.44366469392
224,5518,WESTWOOD PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLOT,MINOR,,WESTWOOD DR,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,12504.750396015,672.877130734246
225,2534,HEARTHWOOD,NATURAL AREA,OPEN SPACE,MINOR,,HEARTHWOOD DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,11431.74736019,548.025347523491
226,2484,SUMMERSIDE WOODS PARK,NATURAL AREA,OPEN SPACE/WOODLOT,MINOR,,VICTORIA ST,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,33354.20068785,985.416134875254
227,5491,BRIGADOON PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,MAXWELL DR,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,82121.92003216,1807.35532953141
228,2459,TRAIL LINK TO COUNTRYSIDE PARK,GREENWAY,OPEN SPACE,LOCAL,,ERINBROOK DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,806.663354005,131.640443758414
229,2295,JOE THOMPSON PARK,DISTRICT PARK,MAJOR SPORTSFIELD,MINOR,8,BRIDGE ST E,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,20252.156988395,744.977229701032
230,2570,MCLENNAN PARK,CITY WIDE PARK,PLAY AREA,MINOR,901,OTTAWA ST S,REGION,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,375463.575726195,4640.22714945839
231,5543,GROVE DRIVE - SWP,NATURAL AREA,OPEN SPACE/HAZARD LAND,MINOR,,GROVE DR,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,3370.60829922,359.03433453871
232,2296,LAURENTIAN PARK (SCHOOL BOARD),OTHER,MINOR SPORTSFIELD,MINOR,715,LAURENTIAN DR,SCHOOL BOARD,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,27296.968630845,661.122354763859
233,2519,GROVE DRIVE,GREENWAY,OPEN SPACE,MINOR,,GROVE DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,4355.88685278,633.908617717431
234,5508,FILSINGER PARK GREENWAY,GREENWAY,OPEN SPACE,MINOR,,WESTMOUNT RD W,KITCHENER,2010-09-19,2015-07-31,OPERATIONS,2016-04-21,105070.89755245,3627.53524860955
235,7534,TILT TRAIL,GREENWAY,OPEN SPACE/TRAIL,LOCAL,,ELMBANK TRAIL,KITCHENER,2015-09-23,2015-08-07,58M-570,2014-01-06,2853.218476855,663.750203065839
236,2479,QUEENSMOUNT PARK,DISTRICT PARK,MAJOR SPORTSFIELD,MINOR,1260,QUEENS BLVD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,22960.888183985,811.356676721789
237,7333,UNNAMED 81,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,,WILLOWRUN DR,KITCHENER,2014-09-11,2015-08-07,58M-575,2014-08-12,3027.74454032,228.626613481046
238,2334,OATEN PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,155,RUTHERFORD DR,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,7419.07570432,424.65572441683
239,2403,BELMONT PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,285,BELMONT AVE W,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,12875.938397745,667.931002571636
240,2478,PROSPECT PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,131,WILFRED AVE,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,18155.49336393,1033.55194916324
241,2332,KINZIE PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,300,KINZIE AVE,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,2600.382601725,213.636641066914
242,2406,FRANCIS GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,399,KING ST W,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,1069.33100696,136.966965550171
243,5490,DETWEILER PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,WESTFOREST TRAIL,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,3271.261192525,414.391684662302
244,2350,SCHAEFER PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,75,BLOOMINGDALE RD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,30193.0089049,914.551237908168
245,2516,DRIFTWOOD PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,MINOR,4,DRIFTWOOD DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,27178.002495235,961.355786513248
246,2277,ORCHARD MILL GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,,DOON VALLEY DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,1924.02226883,209.966484010267
247,2944,GENERALS GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,624,LANCASTER ST W,KITCHENER,2004-12-09,2014-05-07,OPERATIONS,2016-04-21,449.76321043,88.1150655899924
248,4847,WOOLWICH STREET WOODLOT,NATURAL AREA,OPEN SPACE/WOODLOT,LOCAL,,WOOLWICH ST,KITCHENER,2008-02-08,2013-02-20,58M-511,2010-12-02,16091.617316505,584.821224024299
249,2423,BALZER - MANITOU TRAIL,GREENWAY,OPEN SPACE,MINOR,,MANITOU DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,24491.495832535,1788.18351862633
250,5578,VETERANS' GREEN,GREEN,PASSIVE AREA,LOCAL,,SPADINA RD E,KITCHENER,2010-03-15,2014-05-07,PLANNING,2011-01-20,4227.94410873,469.754306189509
251,2549,LACKNER WOODS,NATURAL AREA,OPEN SPACE/WOODLOT,MINOR,621,LACKNER BLVD,KITCHENER,2003-09-24,2014-05-08,OPERATIONS,2016-04-21,309253.713659125,3492.58284326592
252,6995,UNNAMED 5,GREENWAY,OPEN SPACE,MINOR,,NYBERG ST,KITCHENER,2014-03-13,2014-05-08,OPERATIONS,2013-03-13,4859.45783974,396.643305162717
253,2547,BALZER GREENWAY,GREENWAY,OPEN SPACE,MINOR,,COUNTRY HILL DR,KITCHENER,2003-09-24,2014-05-08,OPERATIONS,2016-04-21,24506.526610245,1660.9441344239
254,2587,HOMER WATSON PARK (REGION),NATURAL AREA,OPEN SPACE,MAJOR,345,MILL PARK DR,REGION,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,291528.366193525,2200.74238110012
255,2464,LIPS PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,187,LANCASTER ST W,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,13113.17287612,533.321660508698
256,2426,SHADYRIDGE WOODS,NATURAL AREA,OPEN SPACE,MINOR,,SHADYRIDGE PL,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,13509.922243515,1301.56857356689
257,2379,GLENDALE PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,130,GLEN RD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,3888.728005425,272.128258121798
258,2592,MORGAN PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,325,MORGAN AVE,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,21640.70104154,1074.65350832608
259,4852,MICHAEL DONNENWERTH PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,94,ISAIAH DR,KITCHENER,2008-02-13,2015-08-23,OPERATIONS,2009-04-16,11744.24921547,707.259469594907
260,5283,DEER RIDGE PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,471,DEER RIDGE DR,KITCHENER,2008-10-27,2015-08-23,OPERATIONS,2008-08-15,16006.031524675,727.380933912415
261,5520,WINDRUSH PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/TRAIL,MINOR,,WINDRUSH TRAIL,KITCHENER,2010-09-19,2014-07-15,OPERATIONS,2016-04-21,18178.92690464,1028.60268475096
262,2409,HOMEWOOD GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,,HOMEWOOD AVE,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,394.91702342,87.7201708446361
263,4834,PARKVALE PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,275,PARKVALE DR,KITCHENER,2008-02-08,2015-08-23,OPERATIONS 2008 PARK AUDIT,2008-02-08,109299.295320885,1637.2679892822
264,6872,PARKVALE PARK UTILITY STATION,OPEN SPACE,PUMPING STATION,LOCAL,323,PARKVALE DR,KITCHENER,2014-02-13,2015-08-23,OPERATIONS 2008 PARK AUDIT,2008-02-08,34.972970045,23.9907695139362
265,2460,SCHNEIDER PARK,NATURAL AREA,OPEN SPACE,MINOR,,KING ST E,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,60082.32685168,2439.11483559454
266,6972,DOON VILLAGE GREEN,GREEN,HISTORIC SITE,MINOR,1252,DOON VILLAGE RD,KITCHENER,2014-03-12,2014-05-07,OPERATIONS,2014-03-12,5974.03236225,316.78234577505
267,5514,DOON VILLAGE NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,1252,DOON VILLAGE RD,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2014-03-12,120784.23524178,3107.28051892366
268,2472,MORRISON PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,245,MORRISON RD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,38156.73002039,2119.01118761619
269,2951,STRASBURG CREEK,NATURAL AREA,OPEN SPACE,MINOR,,HURON RD,KITCHENER,2005-01-31,2015-05-21,OPERATIONS,2005-01-31,247564.002386865,5348.2761824611
270,2487,WINIFRED WOODS,NATURAL AREA,OPEN SPACE/WOODLOT,MINOR,,WINIFRED PL,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,27060.049811065,1142.95401608007
271,5509,VETERANS' PARK GREENWAY,GREENWAY,OPEN SPACE,MINOR,,ST CLAIR AVE,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,9760.855512855,1143.21696840975
272,2383,BANCROFT STREET - SWP,NATURAL AREA,OPEN SPACE/HAZARD LAND,MINOR,,BANCROFT ST,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,3151.56743834,227.770668356373
273,2336,KNITTING MILL GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,71,MILL ST,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,410.272976625,85.742151486229
274,2565,NATCHEZ WOODS,NATURAL AREA,OPEN SPACE/WOODLOT,MINOR,,EBYDALE DR,KITCHENER,2003-09-24,2014-05-15,OPERATIONS,2016-04-21,184742.13062006,4202.01227119396
275,2551,BIEHN PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,135,PIONEER DR,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,14875.12762388,494.802827462099
276,5499,LYNNVALLEY PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,26,LYNNVALLEY CRES,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,54958.67522525,3447.07461669138
277,2318,ELMSDALE PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,83,ELMSDALE DR,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,24957.161269425,710.844875060556
278,2422,MONTGOMERY PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,135,MONTGOMERY RD,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,41097.93903409,1297.72206238704
279,4848,COLTON SWP,NATURAL AREA,OPEN SPACE/SWM,MINOR,,COLTON CIR,KITCHENER,2008-02-08,2014-04-14,58M-331,2004-10-07,12418.500346205,574.464252327672
280,2317,HIGHBROOK PARK,GREENWAY,PLAY AREA,LOCAL,110,HIGHBROOK ST,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,13350.489948385,1352.71244394774
281,8092,MARIGOLD PARK,GREEN (PARKETTE),PLAY AREA,MINOR,375,ROBERT FERRIE DR,KITCHENER,2015-04-24,2015-08-23,OPERATIONS,2015-04-23,1881.13231599,212.365765441052
282,2441,GRAND RIVER FLOODPLAIN (KING STREET EAST),NATURAL AREA,OPEN SPACE,LOCAL,,KING ST E,KITCHENER/GRCA,2010-09-19,2014-05-08,KPMP,2010-06-01,76088.72444627,1402.51650241181
283,2578,NORTHFOREST TRAIL,GREENWAY,OPEN SPACE/TRAIL,LOCAL,,GLASGOW ST TO NORTHFOREST TRAIL,KITCHENER,2003-09-24,2014-05-08,OPERATIONS,2016-04-21,4324.732670475,689.46088497449
284,5493,LANCASTER BUSINESS PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,RIVERBEND DR,KITCHENER,2010-09-19,2014-05-08,OPERATIONS,2016-04-21,71941.29055273,2710.13246015141
285,2351,DOM CARDILLO TRAIL (HYDRO),OTHER,HYDRO CORRIDOR,LOCAL,,RIVER RD E,HYDRO,2003-09-24,2014-05-08,OPERATIONS,2016-04-21,97699.810714145,6788.54761381412
286,2522,FOREST HEIGHTS COMMUNITY TRAIL (HYDRO),OTHER,HYDRO CORRIDOR,MINOR,,ROYAL ORCHARD DR,HYDRO,2003-09-24,2014-05-15,OPERATIONS,2016-04-21,190883.671699745,9507.37833931048
287,2533,BRIGADOON WOODS,NATURAL AREA,OPEN SPACE/WOODLOT,MINOR,,STRASBURG RD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,143481.968323565,2016.76247160482
288,2436,TRAILVIEW PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,21,TRAILVIEW DRIVE,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,13399.99380604,614.722461575481
289,2404,KAUFMAN PARK,DISTRICT PARK,MAJOR SPORTSFIELD,MINOR,104,STIRLING AVE S,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,67939.29151127,1538.10500421697
290,3283,SOPHIA PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,97,SOPHIA CRES,KITCHENER,2005-10-31,2015-08-23,OPERATIONS 2008 PARK AUDIT,2008-02-08,3413.940607445,232.293042180588
291,2527,SETTLERS GROVE PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,206,PIONEER TOWER RD,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,13536.559451835,802.846638579858
292,2576,IDLEWOOD PARK,NEIGHBOURHOOD PARK,PLAY AREA,MAJOR,5,THALER AVE,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,19987.2670715,775.60576196504
293,2424,GRAND RIVER CORRIDOR,NATURAL AREA,OPEN SPACE,LOCAL,,PIONEER TOWER RD,GRCA,2010-09-19,2013-12-16,KPMP,2010-06-01,86020.454840405,5352.90233043621
294,2354,VOISIN PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,225,ACTIVA AVE,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,47772.07692716,1091.47422050431
295,3061,OTTERBEIN NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,OTTERBEIN RD,REGION,2010-09-19,2013-12-16,KPMP,2010-06-01,88108.974531,2416.94632062635
296,2302,SYLVIA PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,25,SYLVIA ST,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,12249.7663653,483.88237284051
297,6993,UNNAMED 3,GREENWAY,OPEN SPACE,MINOR,110,KENT AVE,KITCHENER,2014-03-13,2014-05-07,OPERATIONS,2013-03-13,18510.65926079,776.4376597858
298,2521,MEADOWLANE PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,138,GLEN PARK CRES,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,32618.89848538,794.475978112453
299,2509,WILLOWLAKE PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,1815,OLD MILL RD,GRCA,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,13936.13664307,466.635934689584
300,2500,TECUMSEH PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,140,INDIAN RD,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,19013.66268026,839.666243574685
301,6997,UNNAMED 1,GREENWAY,OPEN SPACE,MINOR,,MADISON AVE S,KITCHENER,2014-03-13,2014-05-07,OPERATIONS,2013-03-13,2121.372549655,394.600525464209
302,2496,BREITHAUPT PARK,DISTRICT PARK,MAJOR SPORTSFIELD,MAJOR,350,MARGARET AVE,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,290904.656225695,5302.21886068892
303,5372,LANCASTER PARK,NEIGHBOURHOOD PARK,UNKNOWN,MINOR,559,LANCASTER ST W,KITCHENER,2010-03-22,2016-01-20,COMMUNITY SERVICES DAN RITZ,2009-06-01,803.007453385,132.733808350545
304,2476,MONARCH WOODS PARK,NATURAL AREA,OPEN SPACE,MAJOR,166,FISCHER HALLMAN RD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,142348.559272875,2305.67777228708
305,5309,HELENA FEASBY ST SWP,NATURAL AREA,OPEN SPACE/SWM,MINOR,,HELENA FEASBY ST,KITCHENER,2009-04-19,2014-04-14,58M-408,2006-07-20,10679.607004155,442.381212815827
306,2502,STANLEY PARK CONSERVATION AREA (GRCA),NATURAL AREA,OPEN SPACE,MAJOR,,RIVER RD E,KITCHENER/GRCA,2003-09-24,2014-05-15,OPERATIONS,2016-04-21,616937.07851517,8379.91907823996
307,5546,HENRY STURM GREENWAY,NATURAL AREA,OPEN SPACE,MINOR,,WEST AVE,KITCHENER,2010-09-19,2016-01-20,OPERATIONS,2014-03-13,12352.22365966,812.103758774576
308,2475,MILLWOOD PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,130,MILLWOOD CRES,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,28343.054961915,1615.95009899221
309,2541,BUDD PARK,DISTRICT PARK,MAJOR SPORTSFIELD,MAJOR,1111,HOMER WATSON BLVD,KITCHENER/PRIVATE,2003-09-24,2014-05-15,OPERATIONS,2016-04-21,179973.042445405,2471.57028585459
310,5471,BLAIR CREEK NATURAL AREA,NATURAL AREA,OPEN SPACE,LOCAL,,BLAIR CREEK DR AND DODGE DR,KITCHENER,2010-08-22,2016-01-21,58M-584,2015-06-26,47979.529087505,1068.33078136195
311,2540,BORDEN WETLANDS,NATURAL AREA,OPEN SPACE/WETLAND,MINOR,,FISCHER HALLMAN RD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,172934.57803082,2149.38899735042
312,2568,HENRY STURM GREENWAY,GREENWAY,OPEN SPACE,MINOR,,WEST AVE,KITCHENER,2003-09-24,2016-01-20,OPERATIONS,2014-03-13,30101.02428795,2153.19446388098
313,2418,LAURENTIAN TRAIL (HYDRO),OTHER,HYDRO CORRIDOR,MINOR,,LAURENTIAN DR,REGION/HYDRO,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,144671.9012097,6097.02645507382
314,2490,PETER HALLMAN BALLYARD / ACTIVA SPORTSPLEX,DISTRICT PARK,MAJOR SPORTSFIELD,MINOR,220,HAYWARD AVE,KITCHENER,2003-09-24,2014-07-15,OPERATIONS,2016-04-21,67180.237521385,1603.2667912607
315,2473,LYNNVALLEY PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,26,LYNNVALLEY CRES,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,31929.65852678,3328.45588577183
316,2583,MEINZINGER PARK,DISTRICT PARK,MINOR SPORTSFIELD,MINOR,100,HOMER WATSON BLVD,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,65946.980439685,2850.31969769691
317,2320,STIRLING GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,,STIRLING AVE S,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,997.25418964,137.57530828036
318,2309,LUTHER GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,,WEBER ST E,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,734.393632415,120.859866495938
