OBJECTID,CATEGORY,SUBCATEGORY,FEATURE_TYPE,SURFACE_MATERIAL,WIDTH,GRADE,SOURCE,SOURCE_DATE,WALKABILITYID,SHAPE.LEN
2097,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2097,137.422498896916
2098,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2098,13.9544951126868
2099,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,2099,46.5905843013777
2100,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2100,22.8070858975889
2101,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2101,142.850317208811
2102,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2102,16.1590450967871
2103,TRAIL,CONNECTING PATHWAY,SURFACE,NATURAL,1,FLAT,2015 TRAIL INVENTORY PROJECT,2014-05-15,2103,35.0114632092146
2104,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,TO INPUT,2015 TRAIL INVENTORY PROJECT,2016-04-19,2104,17.1398809561048
2105,TRAIL,CONNECTING PATHWAY,SURFACE,GRAVEL,3,MODERATE,2015 TRAIL INVENTORY PROJECT,2015-08-01,2105,17.5322806970457
2106,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2106,64.4050290761364
2107,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2107,87.7696502179057
2108,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2108,12.8967112230212
2109,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,FLAT,2015 TRAIL INVENTORY PROJECT,2010-09-01,2109,20.4921966842941
2110,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2110,12.6039843053695
2111,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,2111,5.46297138194957
2112,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2012,2012-04-01,2112,12.7506471684152
2113,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2113,148.247020048654
2114,SIDEWALK,NA,,CONCRETE,2,N,ORTHO 2006,2006-04-01,2114,112.969831179641
2115,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2115,14.7604119252269
2116,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2116,17.4105889024467
2117,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,2117,18.2054726741714
2118,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2118,14.7796127016238
2119,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,2119,23.9287012125524
2120,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2120,119.242999760363
2121,SIDEWALK,NA,,CONCRETE,1.5,N,ENGINEERING PLAN,2014-04-25,2121,38.7633683038008
2122,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2122,150.092326420941
2123,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2123,19.4119873750732
2124,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2124,89.5957663458145
2125,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2125,61.3197801447461
2126,TRAIL,CONNECTING PATHWAY,SURFACE,STONEDUST,3,MODERATE,2015 TRAIL INVENTORY PROJECT,2010-09-01,2126,49.0516713552099
2127,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2127,18.1256828111385
2128,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2128,17.3811947221703
2129,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2012,2012-04-01,2129,21.1085400852356
2130,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2130,76.7526550107552
2131,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2131,119.499779150913
2132,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2132,10.2079069358023
2133,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,MODERATE,2015 TRAIL INVENTORY PROJECT,2015-08-01,2133,24.876579937571
2134,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2134,13.570672688559
2135,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2135,116.892470526022
2136,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2136,120.913838070938
2137,SIDEWALK,NA,,CONCRETE,1.5,N,GENERAL PLAN,2006-03-22,2137,226.158216504372
2138,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2138,21.9991801940436
2139,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2139,49.8192082121077
2140,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2140,107.278137951679
2141,SIDEWALK,NA,,CONCRETE,1.5,N,PLAN AND PROFILE,2007-03-05,2141,88.7152905585818
2142,TRAIL,MULTI-USE PATHWAY,SURFACE,CONCRETE,1.5,TO INPUT,2015 TRAIL INVENTORY PROJECT,2015-10-01,2142,15.56713495252
2143,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2143,125.89474311204
2144,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2144,178.863860879019
2145,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2145,18.5460039838775
2146,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2146,17.7108209386239
2147,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2147,61.7640912663661
2148,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,2.3,MODERATE,2015 TRAIL INVENTORY PROJECT,2015-10-01,2148,45.8747839445155
2149,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-04-15,2149,17.2435021669033
2150,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2150,28.9644368598804
2151,TRAIL,MULTI-USE PATHWAY,SURFACE,NATURAL,,TO INPUT,2015 TRAIL INVENTORY PROJECT,2015-10-01,2151,383.898166029081
2152,TRAIL,CONNECTING PATHWAY,SURFACE,STONEDUST,3,TO INPUT,ORTHO 2014,2014-05-15,2152,20.8846525582783
2153,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2153,60.204346398703
2154,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2154,136.135904727789
2155,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2155,17.8404039348889
2156,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2156,76.1387143334679
2157,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2157,159.013225540861
2158,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2158,218.404257434785
2159,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2159,51.4002825287379
2160,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,5,MODERATE,TO INPUT,2010-09-01,2160,189.009626788483
2161,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2161,23.3913765187088
2162,SIDEWALK,NA,,CONCRETE,1.5,N,412768,2008-09-20,2162,239.933918009738
2163,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,2163,19.6490674715112
2164,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2164,17.7766315248418
2165,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2165,20.2309114903407
2166,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2166,266.881030168523
2167,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2167,34.6998354598069
2168,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2168,261.514656156552
2169,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2169,99.5627392098157
2170,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2170,13.0423583162709
2171,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2171,81.714122918624
2172,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2172,18.216747249715
2173,LINK,PED AND BIKE LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,2173,9.97814222839101
2174,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2174,17.9561245267457
2175,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,2175,123.440366838345
2176,SIDEWALK,NA,,BRICK,1.5,N,ORTHO 2003,2003-04-01,2176,130.04853051968
2177,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2177,14.7952259141251
2178,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2178,13.2925330558175
2179,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2179,15.4002944192635
2180,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,2180,78.13685786728
2181,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2181,23.4535899793614
2182,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2182,48.0931235914344
2183,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,2183,61.6851379332315
2184,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2184,18.0872652606744
2185,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2185,23.2286027547935
2186,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2186,14.6965250103553
2187,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2014,2014-05-15,2187,358.449995194949
2188,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2188,19.3531378339534
2189,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,2189,81.5594081539565
2190,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2190,149.685209293403
2191,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,2191,26.4628815643724
2192,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2192,17.3870477643561
2193,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2193,186.334134379117
2194,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2194,208.709875513534
2195,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2195,76.4180319521557
2196,SIDEWALK,NA,,CONCRETE,2,N,ORTHO 2006,2006-04-01,2196,12.6050323918664
2197,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,FLAT,CCL TRAIL,2010-09-01,2197,52.6795536740229
2198,LINK,PED AND BIKE LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2198,10.9066669858394
2199,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2012,2012-04-01,2199,646.727147962642
2200,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2200,149.800841440743
2201,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2201,20.2504479844274
2202,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2202,18.4511151383866
2203,TRAIL,DRIVEWAY CONNECTION,SURFACE,ASPHALT,0,FLAT,CCL TRAIL,2010-09-01,2203,79.8288984119526
2204,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2204,92.1767608245158
2205,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2205,27.4032510262925
2206,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2206,258.794197171044
2207,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2207,26.9982178435911
2208,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2208,15.9288314323431
2209,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2209,224.424697468394
2210,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2210,16.7535608752289
2211,TRAIL,CONNECTING PATHWAY,SURFACE,STONEDUST,2.5,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,2211,98.7889571705293
2212,TRAIL,MULTI-USE PATHWAY,SURFACE,CONCRETE,5,FLAT,2015 TRAIL INVENTORY PROJECT,2015-08-01,2212,7.57850445470609
2213,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2213,77.8379194844813
2214,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2214,16.3537966509309
2215,SIDEWALK,NA,,CONCRETE,1.5,N,PLAN AND PROFILE,2006-01-02,2215,82.1745822258905
2216,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2216,16.4794864352625
2217,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,3,TO INPUT,2015 TRAIL INVENTORY PROJECT,2015-08-01,2217,99.6578891014964
2218,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2218,17.5483623922576
2219,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2219,28.3351652580034
2220,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,2220,79.1418469141647
2221,TRAIL,CONNECTING PATHWAY,SURFACE,ASPHALT,2.5,TO INPUT,ORTHO 2014,2014-05-15,2221,9.29270906331861
2222,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,2222,14.6867030081635
2223,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2012,2012-04-01,2223,291.455887322264
2224,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2224,18.9399800686273
2225,TRAIL,CONNECTING PATHWAY,SURFACE,ASPHALT,3,TO INPUT,ORTHO 2014,2014-05-15,2225,4.50493754229734
2226,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,5,TO INPUT,2015 TRAIL INVENTORY PROJECT,2014-05-15,2226,42.8206522334726
2227,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2227,99.4713963688105
2228,LINK,PED AND BIKE LINK,,NA - VIRTUAL LINK,1.5,N,,2016-04-19,2228,4.93614317863654
2229,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2229,178.246503731419
2230,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2230,17.3070148694106
2231,SIDEWALK,NA,,BRICK,1.5,N,ORTHO 2003,2003-04-01,2231,207.431075252624
2232,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2232,13.2675591161298
2233,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2233,20.0936334576403
2234,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2234,130.23283628368
2235,TRAIL,CONNECTING PATHWAY,SURFACE,STONEDUST,2,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,2235,89.0777835036979
2236,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2236,14.2750009194396
2237,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2237,201.02899155866
2238,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2238,17.4589046383214
2239,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2239,87.8363448748296
2240,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2240,15.2498798726416
2241,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2241,25.4603657039721
2242,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,3,FLAT,2015 TRAIL INVENTORY PROJECT,2010-09-01,2242,62.4946098144543
2243,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2243,214.287102302864
2244,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,2244,89.1602892007199
2245,SIDEWALK,NA,,CONCRETE,1.5,N,PLAN AND PROFILE,2007-02-21,2245,310.463978453477
2246,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,2,FLAT,2015 TRAIL INVENTORY PROJECT,2010-09-01,2246,12.4649592073139
2247,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,MODERATE,2015 TRAIL INVENTORY PROJECT,2010-09-01,2247,12.9356564951485
2248,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2248,17.8402463674132
2249,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,,2016-04-19,2249,19.5114121093272
2250,SIDEWALK,NA,,CONCRETE,1.5,N,SIDEWALK PRIORITY PROJECT,2005-10-01,2250,9.3387874190312
2251,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2251,13.9470808486938
2252,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2252,120.987453063662
2253,LINK,PED AND BIKE LINK,,CONCRETE,1.5,N,,2016-04-19,2253,7.41855662106855
2254,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,2254,129.905839435633
2255,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2255,122.040911038481
2256,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2256,131.680328177652
2257,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2257,18.1307724027411
2258,SIDEWALK,NA,,CONCRETE,1.5,N,PLAN AND PROFILE,2006-02-01,2258,78.9316848830426
2259,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2259,52.0800505028502
2260,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2260,20.6944676481421
2261,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2261,17.7432877057776
2262,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2262,84.4811474271627
2263,SIDEWALK,NA,,CONCRETE,1.5,N,GRADING PLAN,2008-01-14,2263,75.3856209806618
2264,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2264,66.3437845781196
2265,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2265,475.235692723357
2266,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2266,85.3996031606979
2267,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2267,155.055823975349
2268,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,2268,73.4138602974158
2269,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,2269,11.3458044038314
2270,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2270,159.291491004451
2271,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2271,16.0627061235024
2272,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2272,17.8946194910649
2273,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2273,19.2622849008107
2274,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2274,211.521019828289
2275,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2275,13.9348145226264
2276,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2276,193.880614757468
2277,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,3,MODERATE,CCL TRAIL,2010-09-01,2277,84.2771584027544
2278,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2278,168.82178009087
2279,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2279,62.2350647118556
2280,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,2280,255.620810569973
2281,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2281,69.0363556440373
2282,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2282,121.188235068729
2283,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2283,20.1068738624382
2284,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2284,18.659729308058
2285,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2285,18.3271314790395
2286,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2286,10.6885493725762
2287,TRAIL,CONNECTING PATHWAY,SURFACE,STONEDUST,3,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,2287,22.8325891096571
2288,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,FLAT,2015 TRAIL INVENTORY PROJECT,2014-05-15,2288,87.4346555718608
2289,TRAIL,MULTI-USE PATHWAY,SURFACE,CONCRETE,3,FLAT,,2016-04-19,2289,2.48171057337474
2290,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2290,203.77758834086
2291,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2291,73.7631860238431
2292,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2292,18.500152287211
2293,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2293,6.58282177337348
2294,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2012,2012-04-01,2294,98.2477319323454
2295,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,2295,72.4924570040216
2296,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,2,MODERATE,2015 TRAIL INVENTORY PROJECT,2010-09-01,2296,8.83634921470919
2297,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,2297,6.99717494136026
2298,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,2298,17.251032041591
2299,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2299,18.9916175472233
2300,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,2.5,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,2300,217.915887779109
2301,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2301,18.2499252395729
2302,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2302,109.079178306346
2303,TRAIL,MULTI-USE PATHWAY,SURFACE,GRAVEL,3,EXTREME,2015 TRAIL INVENTORY PROJECT,2015-10-01,2303,13.1326747306431
2304,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2304,79.1010614554571
2305,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2305,16.1184259138416
2306,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2306,15.1838665790371
2307,TRAIL,CONNECTING PATHWAY,SURFACE,ASPHALT,3,TO INPUT,2015 TRAIL INVENTORY PROJECT,2015-10-01,2307,15.6260270385661
2308,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2308,49.340586335423
2309,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,4.5,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,2309,210.799640759013
2310,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2310,19.7358083677867
2311,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,2311,156.485742933508
2312,TRAIL,CONNECTING PATHWAY,SURFACE,ASPHALT,3,FLAT,,2016-04-19,2312,3.86711678773734
2313,TRAIL,MULTI-USE PATHWAY,SURFACE,STONEDUST,3,FLAT,CCL TRAIL,2010-09-01,2313,64.3116831750084
2314,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2314,23.4878560377485
2315,SIDEWALK,NA,,CONCRETE,1.5,N,PLAN AND PROFILE 441578,2011-02-08,2315,27.1720971612967
2316,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2316,15.8596047318336
2317,LINK,PED AND BIKE LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,2317,8.36624157671771
2318,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2012,2012-04-01,2318,91.0441240354035
2319,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,2319,8.15111104144705
2320,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2006,2006-04-01,2320,114.356461747511
2321,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2321,24.7486397034261
2322,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,2322,251.933795879612
2323,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,2323,192.121291492874
2324,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2324,18.3934450968273
2325,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2325,19.904620260633
2326,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,2326,18.6497974251733
