OBJECTID,CATEGORY,SUBCATEGORY,FEATURE_TYPE,SURFACE_MATERIAL,WIDTH,GRADE,SOURCE,SOURCE_DATE,WALKABILITYID,SHAPE.LEN
55,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,55,19.0018833435005
56,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,STEEP,CCL TRAIL,2010-09-01,56,73.0716075205232
57,SIDEWALK,NA,,CONCRETE,1.5,N,GENERAL PLAN,2006-03-22,57,9.13058372285146
58,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,58,17.8575174646422
59,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2014,2014-05-15,59,15.6589722025425
60,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,60,10.5899748333034
61,SIDEWALK,NA,,CONCRETE,2,N,ORTHO 2000,2000-04-01,61,266.758187690362
62,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2014,2014-05-15,62,26.2398069219268
63,SIDEWALK,NA,,CONCRETE,2,N,ORTHO 2003,2003-04-01,63,70.4978783531107
64,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,64,15.8103404947522
65,TRAIL,CONNECTING PATHWAY,SURFACE,STONEDUST,3,STEEP,2015 TRAIL INVENTORY PROJECT,2010-09-01,65,154.796028803655
66,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2014,2014-05-15,66,56.101097317254
67,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,67,14.8880464040787
68,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,68,19.5824222020668
69,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,69,8.93102396648895
70,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,70,216.944029697366
71,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,71,13.3185177591202
72,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,72,20.4701467019658
73,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,73,19.8463382315227
74,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,74,100.539722599534
75,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,75,20.0196597536022
76,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,76,15.9940864212371
77,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,77,195.151955857178
78,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,78,15.8565486768086
79,SIDEWALK,NA,,ASPHALT,1.5,N,ORTHO 2014,2014-05-15,79,129.630475778483
