OBJECTID,PATH_TYPE,STATUS,SURFACE,LENGTH_M
1146,Pedestrian Crossing,Active,,11.650631
1147,Pedestrian Crossing,Active,,12.410884
1148,Pedestrian Crossing,Active,,8.334352
1149,Pedestrian Crossing,Active,,14.797794
1150,Pedestrian Crossing,Active,,9.138245
1151,Pedestrian Crossing,Active,,11.834552
1152,Virtual Link,Active,,12.481495
1153,Pedestrian Crossing,Active,,21.392898
1154,Pedestrian Crossing,Active,,10.017778
1155,Pedestrian Crossing,Active,,9.812495
1156,Pedestrian Crossing,Active,,11.76931
1157,Pedestrian Crossing,Active,,22.538611
1158,Pedestrian Crossing,Active,,11.849987
1159,Pedestrian Crossing,Active,,13.267877
1160,Virtual Link,Active,,13.404137
1161,Pedestrian Crossing,Active,,15.517662
1162,Virtual Link,Active,,10.006495
1163,Virtual Link,Active,,13.863076
1164,Pedestrian Crossing,Active,,18.496841
1165,Pedestrian Crossing,Active,,12.630886
1166,Pedestrian Crossing,Active,,11.709776
1167,Virtual Link,Active,,48.253765
1168,Virtual Link,Active,,7.36934
1169,Pedestrian Crossing,Active,,28.347432
1170,Pedestrian Crossing,Active,,12.288446
1171,Virtual Link,Active,,9.47518
1172,Pedestrian Crossing,Active,,13.361258
1173,Pedestrian Crossing,Active,,16.465469
1174,Virtual Link,Active,,11.817856
1175,Pedestrian Crossing,Active,,23.480839
1176,Pedestrian Crossing,Active,,10.79312
1177,Pedestrian Crossing,Active,,13.167947
1178,Pedestrian Crossing,Active,,19.523746
1179,Pedestrian Crossing,Active,,13.106089
1180,Pedestrian Crossing,Active,,5.094983
1181,Virtual Link,Active,,17.568866
1182,Pedestrian Crossing,Active,,22.347741
1183,Pedestrian Crossing,Active,,13.282294
1184,Pedestrian Crossing,Active,,9.51048
1185,Pedestrian Crossing,Active,,12.396528
1186,Virtual Link,Active,,9.144271
1187,Virtual Link,Active,,18.248282
1188,Pedestrian Crossing,Active,,11.243462
1189,Virtual Link,Active,,15.217519
1190,Pedestrian Crossing,Active,,16.253754
1191,Pedestrian Crossing,Active,,19.794337
1192,Virtual Link,Active,,11.252879
1193,Pedestrian Crossing,Active,,13.608184
1194,Pedestrian Crossing,Active,,12.120175
1195,Pedestrian Crossing,Active,,23.945499
1196,Virtual Link,Active,,10.073444
1197,Pedestrian Crossing,Active,,16.39173
1198,Virtual Link,Active,,9.067682
1199,Pedestrian Crossing,Active,,14.165675
1200,Pedestrian Crossing,Active,,9.208721
1201,Virtual Link,Active,,20.612269
1202,Pedestrian Crossing,Active,,14.693551
1203,Virtual Link,Active,,11.237988
1204,Pedestrian Crossing,Active,,10.346324
1205,Pedestrian Crossing,Active,,20.596412
1206,Pedestrian Crossing,Active,,27.130862
1207,Virtual Link,Active,,14.741537
1208,Pedestrian Crossing,Active,,15.729976
1209,Pedestrian Crossing,Active,,13.588419
1210,Virtual Link,Active,,11.144371
1211,Pedestrian Crossing,Active,,12.526615
1212,Pedestrian Crossing,Active,,11.688749
1213,Pedestrian Crossing,Active,,12.547262
1214,Pedestrian Crossing,Active,,27.983714
1215,Pedestrian Crossing,Active,,26.670377
1216,Virtual Link,Active,,13.607624
1217,Virtual Link,Active,,17.382936
1218,Pedestrian Crossing,Active,,12.25684
1219,Pedestrian Crossing,Active,,11.983898
1220,Pedestrian Crossing,Active,,30.426418
1221,Pedestrian Crossing,Active,,24.75001
1222,Pedestrian Crossing,Active,,12.971643
1223,Virtual Link,Active,,14.069335
1224,Virtual Link,Active,,15.933938
1225,Virtual Link,Active,,13.495884
1226,Virtual Link,Active,,14.439005
1227,Pedestrian Crossing,Active,,24.853227
1228,Pedestrian Crossing,Active,,13.269926
1229,Virtual Link,Active,,11.259539
1230,Pedestrian Crossing,Active,,15.626096
1231,Pedestrian Crossing,Active,,16.509923
1232,Virtual Link,Active,,116.072299
1233,Virtual Link,Active,,23.485365
1234,Virtual Link,Active,,11.795571
1235,Pedestrian Crossing,Active,,12.254866
1236,Virtual Link,Active,,10.175091
1237,Virtual Link,Active,,14.26007
1238,Virtual Link,Active,,10.301542
1239,Pedestrian Crossing,Active,,11.70645
1240,Virtual Link,Active,,11.242751
1241,Pedestrian Crossing,Active,,19.348199
1242,Pedestrian Crossing,Active,,12.058188
1243,Pedestrian Crossing,Active,,11.77362
1244,Pedestrian Crossing,Active,,30.908618
1245,Virtual Link,Active,,13.923563
1246,Virtual Link,Active,,7.243667
1247,Pedestrian Crossing,Active,,17.731604
1248,Pedestrian Crossing,Active,,10.929452
1249,Pedestrian Crossing,Active,,12.88653
1250,Virtual Link,Active,,14.61214
1251,Virtual Link,Active,,13.89775
1252,Pedestrian Crossing,Active,,24.871995
1253,Pedestrian Crossing,Active,,11.314996
1254,Pedestrian Crossing,Active,,15.323783
1255,Virtual Link,Active,,10.913102
1256,Pedestrian Crossing,Active,,11.392081
1257,Virtual Link,Active,,15.261517
1258,Virtual Link,Active,,12.755668
1259,Virtual Link,Active,,12.990743
1260,Pedestrian Crossing,Active,,11.226564
1261,Pedestrian Crossing,Active,,14.130136
1262,Pedestrian Crossing,Active,,11.953288
1263,Pedestrian Crossing,Active,,15.016648
1264,Pedestrian Crossing,Active,,14.843893
1265,Pedestrian Crossing,Active,,14.799593
1266,Virtual Link,Active,,12.337957
1267,Virtual Link,Active,,15.556709
1268,Pedestrian Crossing,Active,,15.303657
1269,Pedestrian Crossing,Active,,18.422293
1270,Pedestrian Crossing,Active,,23.697686
1271,Virtual Link,Active,,6.354633
1272,Pedestrian Crossing,Active,,25.898268
1273,Pedestrian Crossing,Active,,12.871242
1274,Virtual Link,Active,,12.950795
1275,Virtual Link,Active,,3.192517
1276,Virtual Link,Active,,10.761298
1277,Pedestrian Crossing,Active,,12.058949
1278,Pedestrian Crossing,Active,,10.698817
1279,Virtual Link,Active,,5.850193
1280,Pedestrian Crossing,Active,,15.133467
1281,Virtual Link,Active,,5.725834
1282,Virtual Link,Active,,14.287078
1283,Pedestrian Crossing,Active,,12.969761
1284,Pedestrian Crossing,Active,,28.246563
1285,Pedestrian Crossing,Active,,29.820032
1286,Pedestrian Crossing,Active,,15.263651
1287,Pedestrian Crossing,Active,,26.930658
1288,Virtual Link,Active,,10.719558
1289,Pedestrian Crossing,Active,,11.803256
1290,Pedestrian Crossing,Active,,23.121034
1291,Pedestrian Crossing,Active,,11.180183
1292,Pedestrian Crossing,Active,,12.423711
1293,Virtual Link,Active,,12.84051
1294,Pedestrian Crossing,Active,,26.156674
1295,Pedestrian Crossing,Active,,11.865809
1296,Virtual Link,Active,,5.948487
1297,Virtual Link,Active,,18.019788
1298,Virtual Link,Active,,11.298955
1299,Pedestrian Crossing,Active,,22.642984
1300,Pedestrian Crossing,Active,,10.927205
1301,Virtual Link,Active,,10.43096
1302,Pedestrian Crossing,Active,,14.66489
1303,Pedestrian Crossing,Active,,16.112874
1304,Pedestrian Crossing,Active,,11.806786
1305,Pedestrian Crossing,Active,,12.666988
1306,Pedestrian Crossing,Active,,18.395724
1307,Pedestrian Crossing,Active,,38.891258
1308,Pedestrian Crossing,Active,,11.909411
1309,Pedestrian Crossing,Active,,13.116955
1310,Pedestrian Crossing,Active,,19.248366
1311,Pedestrian Crossing,Active,,18.406493
1312,Pedestrian Crossing,Active,,13.759637
1313,Pedestrian Crossing,Active,,20.294084
1314,Pedestrian Crossing,Active,,5.291262
1315,Virtual Link,Active,,15.820575
1316,Virtual Link,Active,,6.552841
1317,Pedestrian Crossing,Active,,15.617594
1318,Virtual Link,Active,,17.508987
1319,Virtual Link,Active,,25.637793
1320,Pedestrian Crossing,Active,,11.838803
1321,Virtual Link,Active,,14.68232
1322,Pedestrian Crossing,Active,,12.644052
1323,Pedestrian Crossing,Active,,12.040151
1324,Pedestrian Crossing,Active,,15.340524
1325,Virtual Link,Active,,13.375989
1326,Pedestrian Crossing,Active,,11.715361
1327,Pedestrian Crossing,Active,,21.104007
1328,Virtual Link,Active,,14.982974
1329,Virtual Link,Active,,13.213499
1330,Pedestrian Crossing,Active,,12.190741
1331,Pedestrian Crossing,Active,,11.466598
1332,Pedestrian Crossing,Active,,12.713845
1333,Virtual Link,Active,,6.153426
1334,Pedestrian Crossing,Active,,11.359104
1335,Pedestrian Crossing,Active,,18.153701
1336,Pedestrian Crossing,Active,,27.939332
1337,Virtual Link,Active,,11.326775
1338,Pedestrian Crossing,Active,,11.12486
1339,Pedestrian Crossing,Active,,12.373565
1340,Virtual Link,Active,,5.918256
1341,Virtual Link,Active,,12.212946
1342,Pedestrian Crossing,Active,,7.251806
1343,Pedestrian Crossing,Active,,11.175541
1344,Pedestrian Crossing,Active,,12.066817
1345,Pedestrian Crossing,Active,,10.943064
1346,Pedestrian Crossing,Active,,8.54481
1347,Pedestrian Crossing,Active,,15.219218
1348,Virtual Link,Active,,7.816089
1349,Virtual Link,Active,,12.999556
1350,Virtual Link,Active,,13.789615
1351,Pedestrian Crossing,Active,,20.17706
1352,Virtual Link,Active,,13.620392
1353,Pedestrian Crossing,Active,,11.178039
1354,Pedestrian Crossing,Active,,7.440147
1355,Pedestrian Crossing,Active,,11.212573
1356,Pedestrian Crossing,Active,,11.865744
1357,Virtual Link,Active,,13.241788
1358,Virtual Link,Active,,10.078706
1359,Virtual Link,Active,,14.633678
1360,Pedestrian Crossing,Active,,25.043279
1361,Pedestrian Crossing,Active,,17.743355
1362,Virtual Link,Active,,12.0675
1363,Virtual Link,Active,,13.539974
1364,Pedestrian Crossing,Active,,14.355097
1365,Virtual Link,Active,,10.721232
1366,Pedestrian Crossing,Active,,29.666551
1367,Pedestrian Crossing,Active,,17.279657
1368,Virtual Link,Active,,12.653315
1369,Pedestrian Crossing,Active,,22.017914
1370,Virtual Link,Active,,148.141361
1371,Pedestrian Crossing,Active,,26.193243
1372,Pedestrian Crossing,Active,,29.394389
1373,Pedestrian Crossing,Active,,16.897436
1374,Pedestrian Crossing,Active,,14.860566
1375,Pedestrian Crossing,Active,,16.22468
1376,Pedestrian Crossing,Active,,12.086157
1377,Pedestrian Crossing,Active,,19.819993
1378,Virtual Link,Active,,11.723984
1379,Pedestrian Crossing,Active,,20.667998
1380,Virtual Link,Active,,8.83435
1381,Pedestrian Crossing,Active,,14.501208
1382,Pedestrian Crossing,Active,,14.334387
1383,Pedestrian Crossing,Active,,33.847698
1384,Pedestrian Crossing,Active,,28.266949
1385,Pedestrian Crossing,Active,,17.124474
1386,Virtual Link,Active,,14.091832
1387,Pedestrian Crossing,Active,,14.481591
1388,Pedestrian Crossing,Active,,9.374728
1389,Pedestrian Crossing,Active,,13.101862
1390,Pedestrian Crossing,Active,,34.030767
1391,Pedestrian Crossing,Active,,19.029336
1392,Virtual Link,Active,,13.537254
1393,Pedestrian Crossing,Active,,10.461446
1394,Pedestrian Crossing,Active,,15.786273
1395,Pedestrian Crossing,Active,,11.893913
1396,Virtual Link,Active,,6.5484
1397,Pedestrian Crossing,Active,,12.271338
1398,Pedestrian Crossing,Active,,10.95846
1399,Pedestrian Crossing,Active,,26.278121
1400,Virtual Link,Active,,8.819576
1401,Virtual Link,Active,,13.394973
1402,Pedestrian Crossing,Active,,21.852339
1403,Virtual Link,Active,,12.092543
1404,Pedestrian Crossing,Active,,11.254103
1405,Pedestrian Crossing,Active,,13.204718
1406,Virtual Link,Active,,10.28535
1407,Pedestrian Crossing,Active,,12.109803
1408,Pedestrian Crossing,Active,,12.285988
1409,Virtual Link,Active,,13.455868
1410,Pedestrian Crossing,Active,,29.577589
1411,Pedestrian Crossing,Active,,11.602173
1412,Pedestrian Crossing,Active,,12.138589
1413,Pedestrian Crossing,Active,,8.482367
1414,Pedestrian Crossing,Active,,11.560663
